,name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,element_type,start_price,end_price
56,Tyrone Mings,0,0,0,30,2,13.0,3.6,5.0,0,5,2.2,0,0,0,1.0,DEF,4.5,4.1
57,Robin Olsen,0,0,17,405,13,0.0,194.6,0.0,3,107,19.5,0,0,0,0.6,GK,4.0,3.9
58,Jaden Philogene-Bidace,0,0,1,3,1,0.3,0.4,2.0,0,3,0.3,0,0,0,0.0,MID,4.5,4.5
59,Jacob Ramsey,1,1,29,848,12,159.3,124.0,182.0,0,101,46.7,0,0,2,0.1,MID,6.0,5.9
60,Morgan Sanson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
61,Viljami Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
62,Youri Tielemans,2,6,77,1613,27,325.4,369.2,136.0,2,318,83.3,4,0,3,0.4,MID,6.0,5.6
63,Bertrand Traoré,0,0,2,10,0,0.0,3.0,0.0,0,6,0.3,0,0,0,0.0,MID,5.0,5.0
64,Ollie Watkins,19,18,228,3222,56,588.5,1024.6,1420.0,29,752,302.8,7,0,4,35.9,FWD,8.0,8.9
65,Wesley Moraes Ferreira da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,FWD,5.0,5.0
66,Pau Torres,2,0,85,2462,37,150.6,479.4,135.0,4,461,76.6,6,0,1,2.8,DEF,4.5,4.6
67,Moussa Diaby,6,11,142,2168,40,617.8,515.4,675.0,10,429,180.6,8,0,1,5.8,MID,6.5,6.3
68,Omari Kellyman,0,0,2,35,1,0.5,2.6,2.0,0,6,0.5,0,0,0,0.0,MID,4.5,4.5
69,Filip Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
70,Nicolò Zaniolo,2,0,34,824,13,120.1,146.8,357.0,0,36,61.9,2,0,7,0.0,MID,5.5,5.4
71,Oliwier Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
72,Clément Lenglet,0,1,24,1153,27,41.8,250.6,103.0,0,207,39.5,2,0,3,0.2,DEF,4.5,4.5
73,Sam Proctor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
74,Tommi O'Reilly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
75,James Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
76,Kaine Kesler-Hayden,0,0,3,5,0,0.0,0.0,0.0,0,9,0.0,0,0,0,0.0,DEF,4.0,4.0
77,Morgan Rogers,3,1,35,636,13,118.4,177.8,150.0,0,114,44.5,2,0,3,0.0,MID,5.0,5.0
78,Joe Gauci,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,3.9
79,Finley Munroe,0,0,1,3,0,1.0,0.0,0.0,0,3,0.1,0,0,0,0.0,DEF,4.0,4.0
80,Kadan Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
81,Lander Emery,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,GK,4.0,4.0
82,Jaidon Anthony,0,0,3,151,5,4.6,9.0,16.0,0,4,3.0,0,0,1,0.0,MID,5.0,4.9
83,Philip Billing,2,3,60,1385,36,313.5,304.2,267.0,3,228,88.3,2,1,3,0.3,MID,5.5,5.1
84,David Brooks,1,1,23,271,7,112.4,88.2,113.0,2,71,31.4,0,0,1,0.0,MID,5.0,4.7
85,Ryan Christie,0,5,90,2908,56,780.2,620.2,351.0,5,433,175.4,8,0,6,0.1,MID,5.0,5.0
86,Lewis Cook,0,3,77,2787,51,681.9,520.2,67.0,5,446,127.2,8,1,5,0.1,MID,5.0,4.8
87,Siriki Dembélé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
88,Ryan Fredericks,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,DEF,4.5,4.3
89,James Hill,0,0,5,74,1,2.2,32.6,0.0,0,22,3.5,0,0,0,0.1,DEF,4.0,4.0
90,Lloyd Kelly,0,1,48,1553,32,141.8,279.0,48.0,5,293,46.9,4,0,2,0.1,DEF,4.5,4.5
91,Gavin Kilkenny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,MID,4.5,4.3
92,Justin Kluivert,7,1,100,1910,23,283.2,362.2,619.0,2,229,126.4,11,0,5,0.7,MID,5.0,4.6
93,Jamal Lowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,5.0,4.9
94,Emiliano Marcondes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.3
95,Chris Mepham,0,1,16,613,16,40.0,142.6,27.0,0,113,21.0,1,0,2,0.1,DEF,4.5,4.3
96,Kieffer Moore,1,0,14,100,2,27.9,37.4,81.0,2,38,14.1,0,0,0,0.2,FWD,5.0,4.6
97,Norberto Murara Neto,0,0,110,2880,55,0.0,875.2,0.0,14,592,87.5,7,0,5,4.2,GK,4.5,4.6
98,Dango Ouattara,1,2,56,1214,24,245.4,298.4,332.0,3,207,87.8,5,0,3,0.0,MID,5.0,4.7
99,Ben Pearson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,MID,4.5,4.5
100,Darren Randolph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,GK,4.0,3.9
101,Joe Rothwell,0,0,13,380,12,63.9,45.8,5.0,0,54,11.6,0,0,0,0.0,MID,5.0,4.8
102,Antoine Semenyo,8,4,107,2099,33,411.2,506.8,748.0,14,363,166.8,8,0,6,2.0,FWD,4.5,4.5
103,Marcos Senesi,4,5,102,2239,44,311.2,735.0,147.0,13,486,119.7,6,0,13,2.4,DEF,4.5,4.4
104,Adam Smith,0,3,80,2148,33,296.5,336.4,27.0,4,378,66.1,8,0,6,0.5,DEF,4.5,4.4
